,Civilité,Year,Type,section,Nationalité,ISO_code
289,Mister,2009-2010,Master,Bioengineering,French,
290,Mister,2009-2010,Master,Mechanical Engineering,French,
291,Mister,2009-2010,Master,Materials Science and Engineering,French,
292,Miss,2009-2010,Bachelor,Architecture,French,
293,Mister,2009-2010,Master,Computer Science,Moroccan,
294,Mister,2009-2010,Master,Communication Systems,French,
295,Mister,2009-2010,Master,Communication Systems,Uzbek,
296,Miss,2009-2010,Bachelor,Mathematics,Moroccan,
297,Mister,2009-2010,Master,Financial engineering,Swiss,
298,Miss,2009-2010,Master,Architecture,Swiss,
299,Miss,2009-2010,Master,Life Sciences and Technologies,Swiss,
300,Mister,2009-2010,Master,Architecture,British,
301,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
302,Mister,2009-2010,Master,Computer Science,Swiss,
303,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
304,Mister,2009-2010,Master,Architecture,Swiss,
305,Mister,2009-2010,Master,Mechanical Engineering,Swiss,
306,Miss,2009-2010,Master,Architecture,Swiss,
307,Miss,2009-2010,Master,Architecture,Swiss,
308,Mister,2009-2010,Master,Architecture,Swiss,
309,Mister,2009-2010,Master,Mechanical Engineering,French,
310,Mister,2009-2010,Master,Civil Engineering,Swiss,
311,Mister,2009-2010,Bachelor,Microengineering,Swiss,
312,Mister,2009-2010,Master,Civil Engineering,Swiss,
313,Mister,2009-2010,Master,Architecture,Swiss,
314,Mister,2009-2010,Master,Materials Science and Engineering,Swiss,
315,Miss,2009-2010,Master,Bioengineering,Swiss,
316,Mister,2009-2010,Master,Mechanical Engineering,Swiss,
317,Mister,2009-2010,Master,Architecture,Swiss,
318,Mister,2009-2010,Master,Mechanical Engineering,Swiss,
319,Miss,2009-2010,Bachelor,Mathematics,Iranian,
320,Mister,2009-2010,Master,Mathematics,Swiss,
321,Mister,2009-2010,Master,Civil Engineering,Swiss,
322,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
323,Mister,2009-2010,Master,Mathematics,Swiss,
324,Mister,2009-2010,Master,Life Sciences and Technologies,Swiss,
325,Mister,2009-2010,Master,Mechanical Engineering,Swiss,
326,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
327,Mister,2009-2010,Master,Architecture,Swiss,
328,Mister,2009-2010,Master,Architecture,French,
329,Miss,2009-2010,Bachelor,Communication Systems,Swiss,
330,Mister,2009-2010,Master,Bioengineering,Swiss,
331,Miss,2009-2010,Master,Architecture,Swiss,
332,Miss,2009-2010,Master,Architecture,Swiss,
333,Mister,2009-2010,Master,Communication Systems,Swiss,
334,Mister,2009-2010,Master,Micro and Nanotechnologies for Integrated Systems,Swiss,
335,Mister,2009-2010,Master,Architecture,Swiss,
336,Mister,2009-2010,Master,Architecture,Swiss,
337,Mister,2009-2010,Master,Physics,Swiss,
338,Mister,2009-2010,Master,Architecture,Swiss,
339,Miss,2009-2010,Master,Architecture,Swiss,
340,Miss,2009-2010,Bachelor,Architecture,Swiss,
341,Miss,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
342,Miss,2009-2010,Master,Bioengineering,Swiss,
